setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Solvent: Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IzVMu,283.02,101.3,0.006,0.5,1367.1,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,293.08,101.3,0.006,0.5,1358.1,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,298.05,101.3,0.006,0.5,1352.3,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,303.04,101.3,0.006,0.5,1348,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,312.98,101.3,0.006,0.5,1339.1,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,323.07,101.3,0.006,0.5,1328.2,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
IzVMu,333.05,101.3,0.006,0.5,1317.5,Choudhury et al. (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCDM,CNC(C)=O,N-methylacetamide,AADYJk,O,water
