setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mIgzP,293.15,0.0495,101.3,1173.6,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.0972,101.3,1196.4,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.2021,101.3,1229.9,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.2955,101.3,1249.1,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.4015,101.3,1264.3,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.495,101.3,1274.2,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.5993,101.3,1282.6,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.6939,101.3,1288.6,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.7858,101.3,1293.3,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.8697,101.3,1296.9,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,293.15,0.9286,101.3,1299.1,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,298.15,0.0495,101.3,1167.4,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,298.15,0.0972,101.3,1190.6,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,298.15,0.2021,101.3,1224.7,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
mIgzP,298.15,0.2955,101.3,1244.2,Garcia-Miaja et al. (2009b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
