setid,"MolaLity of N-methyl-2-oxopyrrolidinium formate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qgvvx,0.1,288.15,100,1000.87,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.1,298.15,100,998.697,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.1,308.15,100,995.571,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.1,318.15,100,991.633,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.15,288.15,100,1001.64,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.15,298.15,100,999.401,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.15,308.15,100,996.217,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.15,318.15,100,992.225,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.2,288.15,100,1002.42,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.2,298.15,100,1000.1,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.2,308.15,100,996.862,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.2,318.15,100,992.816,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.25,288.15,100,1003.19,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.25,298.15,100,1000.81,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.25,308.15,100,997.508,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
qgvvx,0.25,318.15,100,993.408,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate,,,
