setid,"Temperature, K","MolaRity of diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)], mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XAqSG,278.15,0.01401,101.325,1002.03,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.0231,101.325,1003.34,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.0317,101.325,1004.55,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.04353,101.325,1006.24,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.05548,101.325,1007.86,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.08871,101.325,1012.43,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,278.15,0.11046,101.325,1015.32,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.01399,101.325,1001.08,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.02308,101.325,1002.33,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.03167,101.325,1003.5,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.04349,101.325,1005.07,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.05543,101.325,1006.68,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.08863,101.325,1010.96,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,288.15,0.11037,101.325,1013.73,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
XAqSG,298.15,0.01396,101.325,998.95,Dey et al. (2003),Density,Liquid,AADYJk,O,water,ABzdyW,Cc1cc[n+]([Fe-]([OH2+])([OH2+])[n+]2ccc(C)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F,diaquabis(4-methylpyridine)iron(3+)  tris[tetrafluoroborate(1-)],,,
