setid,"Temperature, K","Pressure, kPa",Solvent: Weight fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Specific volume, m<SUP>3</SUP>/kg",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jVBgI,293.1,785,0.1501,0.0009731,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,1027,0.8705,0.0008448,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,1222,0.1501,0.0009726,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,1582,0.8705,0.000843,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,1737,0.1501,0.0009723,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,2162,0.1501,0.0009721,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,2303,0.8705,0.0008416,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,2928,0.8705,0.0008434,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,3212,0.1501,0.0009718,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,3712,0.8705,0.0008417,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,4484,0.8705,0.0008407,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.1,4558,0.1501,0.0009734,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,899,0.4956,0.0009079,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,1580,0.4956,0.0009082,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,2288,0.4956,0.0009055,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,2945,0.4956,0.0009031,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,3777,0.4956,0.0009006,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,293.2,5221,0.4956,0.0008992,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,1159,0.1501,0.0009931,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,1995,0.1501,0.00099,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,3255,0.1501,0.0009869,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,4345,0.1501,0.0009859,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,5809,0.1501,0.0009834,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,7579,0.1501,0.0009817,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.1,10004,0.1501,0.000979,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
jVBgI,333.2,1124,0.4956,0.0009302,Kumelan et al. (2011a),Density,Liquid,Gas,,56,AAIYzl,O=C=O,carbon dioxide,AADYJk,O,water
