setid,"Temperature, K",Mole fraction of heptane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QYexa,283.15,0.007,101,1260.51,Gomez et al. (2010b),Density,Liquid,AATOnt,CCCCCCC,heptane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
QYexa,298.15,0.007,101,1250.63,Gomez et al. (2010b),Density,Liquid,AATOnt,CCCCCCC,heptane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
