setid,"Temperature, K","MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uYNHj,288.15,0.0017,101.325,999.165,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0021,101.325,999.18,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0028,101.325,999.208,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0035,101.325,999.237,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0045,101.325,999.276,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0056,101.325,999.318,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0068,101.325,999.36,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0078,101.325,999.386,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0098,101.325,999.45,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0107,101.325,999.479,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0124,101.325,999.534,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0133,101.325,999.564,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0151,101.325,999.628,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0172,101.325,999.689,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,288.15,0.0202,101.325,999.776,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0017,101.325,997.103,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0021,101.325,997.117,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0028,101.325,997.142,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0035,101.325,997.168,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0045,101.325,997.202,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0056,101.325,997.242,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0068,101.325,997.274,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0078,101.325,997.299,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0098,101.325,997.352,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0107,101.325,997.382,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0124,101.325,997.43,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0133,101.325,997.45,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0151,101.325,997.499,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0172,101.325,997.558,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
uYNHj,298.15,0.0202,101.325,997.639,Gonzalez-Perez et al. (2003),Density,Liquid,ABVwpS,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],"N-dodecyl-N,N-dimethylbenzenemethanaminium bromide",AADYJk,O,water,,,
