setid,"MolaLity of trimethylbenzylammonium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZVjmz,0.001,298.15,101.3,996.97,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.001,308.15,101.3,994,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.001,318.15,101.3,990.22,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.003,298.15,101.3,997.09,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.003,308.15,101.3,994.15,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.003,318.15,101.3,990.3,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.005,298.15,101.3,997.2,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.005,308.15,101.3,994.25,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
ZVjmz,0.005,318.15,101.3,990.41,Roy et al. (2024),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,
