setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gLHCv,303.15,0,96.7,932.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.227,96.7,980.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.305,96.7,991.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.407,96.7,1003.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.495,96.7,1012.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.629,96.7,1023.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.793,96.7,1034.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,0.892,96.7,1040.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,303.15,1,96.7,1046.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0,96.7,928.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.227,96.7,976.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.305,96.7,987.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.407,96.7,999.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.495,96.7,1008.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.629,96.7,1020.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.793,96.7,1031.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,0.892,96.7,1037.6,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,308.15,1,96.7,1043.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0,96.7,923.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.227,96.7,972.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.305,96.7,983.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.407,96.7,996.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.495,96.7,1005.4,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.629,96.7,1016.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
gLHCv,313.15,0.793,96.7,1028.5,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
