setid,"Temperature, K","MolaLity of N-acetyl-L-leucine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cKhFT,288.15,0,0,100,999.1,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0,0.005,100,999.17,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0,0.01,100,999.24,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0,0.03,100,999.5,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0,0.05,100,999.77,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00497,0.005,100,999.31,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00499,0.05,100,999.9,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.005,0.03,100,999.64,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00507,0.01,100,999.37,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00514,0,100,999.24,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.008,0.01,100,999.45,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.008,0.05,100,999.98,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00801,0,100,999.32,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00802,0.03,100,999.72,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.00812,0.005,100,999.39,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01003,0.05,100,1000.04,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01006,0.01,100,999.51,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01008,0,100,999.38,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01009,0.03,100,999.78,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01015,0.005,100,999.45,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.01994,0,100,999.65,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02001,0.01,100,999.78,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02011,0.005,100,999.72,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02011,0.03,100,1000.05,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02011,0.05,100,1000.31,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02494,0,100,999.79,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.02496,0.005,100,999.85,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.025,0.01,100,999.92,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.025,0.03,100,1000.2,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
cKhFT,288.15,0.025,0.05,100,1000.44,Kumar et al. (2020a),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water
