setid,Mole fraction of butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VLYyf,0,323.15,100,1013.7,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,328.15,100,1009.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,333.15,100,1005.9,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,338.15,100,1001.9,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,343.15,100,997.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,348.15,100,993.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0,353.15,100,989.7,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0.1157,323.15,100,1131,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0.1157,328.15,100,1126.8,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
VLYyf,0.1157,333.15,100,1122.5,Domanska et al. (2014e),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",ABYLZx,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,,,
