setid,"Temperature, K","MolaLity of 1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
twREE,288.15,0.0132,101,999.5,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0212,101,999.8,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0366,101,1000.3,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0511,101,1000.7,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0603,101,1001,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0783,101,1001.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.0944,101,1002.1,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.1035,101,1002.4,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.1113,101,1002.6,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
twREE,288.15,0.1218,101,1002.9,Jain et al. (2024),Density,Liquid,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,AADYJk,O,water,,,
