setid,Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OGsRK,0.5599,101,298.15,1385.38,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.6544,101,298.15,1334.96,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.7307,101,298.15,1297.28,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.765,101,298.15,1281.21,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.8085,101,298.15,1261.48,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.901,101,298.15,1221.99,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
OGsRK,0.9648,101,298.15,1196.7,Navas et al. (2011),Density,Liquid,AApbyd,BrCCCCBr,"1,4-dibromobutane",AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
