setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Clulj,288.15,0.0653,0.4152,101,1424,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.1311,0.3667,101,1357,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.2067,0.3097,101,1297.14,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.3071,0.2309,101,1229.18,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.4156,0.1592,101,1163.64,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.5436,0.0864,101,1094.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.6635,0.0329,101,1042.3,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,288.15,0.7737,0.0077,101,1021.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0087,0,101,997.27,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0087,0.03,101,1019.56,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0087,0.06,101,1042.65,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0173,0,101,997.52,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0173,0.03,101,1019.79,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.0175,0.06,101,1042.85,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.026,0,101,997.76,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
Clulj,298.15,0.026,0.03,101,1020.01,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride
