setid,"Temperature, K",Mole fraction of 1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iWbrc,308.15,0,101,808.1,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,308.15,0.0023,101,809.5,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,308.15,0.0041,101,810.9,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,308.15,0.0061,101,812.2,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,318.15,0,101,799.2,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,318.15,0.0061,101,803.1,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,318.15,0.0083,101,804.5,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
iWbrc,318.15,0.011,101,806.4,Domanska et al. (2008d),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABChoH,CCCCCCOC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyloxymethyl-3-methylimidazolium tetrafluoroborate,,,
