setid,"Temperature, K",Mole fraction of 1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OSkzG,293.15,0,100,789.6,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.0999,100,922.7,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.2002,100,987.9,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.3,100,1028,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.4001,100,1054.8,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.4998,100,1073.8,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.6002,100,1086,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.7001,100,1094.9,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.8002,100,1101.3,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,0.8992,100,1107.4,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,293.15,1,100,1113.2,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,303.15,0,100,781,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,303.15,0.0999,100,915.7,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,303.15,0.2002,100,981.5,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
OSkzG,303.15,0.3,100,1021.8,Yang and Fang (2019),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAIsrh,CCO,ethanol,,,
