setid,"Temperature, K",Mole fraction of 1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OsLUW,293.15,0,101,1146,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,293.15,0.2501,101,1132,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,293.15,0.5002,101,1116,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,293.15,0.7501,101,1101,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,293.15,1,101,1085,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,298.15,0,101,1143,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,298.15,0.2501,101,1128,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,298.15,0.5002,101,1113,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,298.15,0.7501,101,1097,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
OsLUW,298.15,1,101,1081,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AArQav,CC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-ethyl-3-methyl-1H-imidazolium L-prolinate,,,
