setid,"Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FmDdd,0,298,101,997.043,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.0071,298,101,1010.24,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.02,298,101,1029.86,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.0289,298,101,1041.28,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.0686,298,101,1077.84,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.2076,298,101,1134.41,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.2204,298,101,1136.95,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.2979,298,101,1150.7,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.4286,298,101,1165.2,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.4983,298,101,1170.9,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.6317,298,101,1178.8,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.7598,298,101,1184.3,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,0.848,298,101,1187.2,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
FmDdd,1,298,101,1191.2,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
