setid,Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Temperature, K",Solvent: Mole fraction of 1-methylimidazole,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PeIXd,0,101,298.15,0.5,964.7,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.09996,101,298.15,0.5,978.2,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.20009,101,298.15,0.5,992.9,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.29997,101,298.15,0.5,1006.8,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.39946,101,298.15,0.5,1020.8,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.50035,101,298.15,0.5,1035.3,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.59804,101,298.15,0.5,1050.1,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.70277,101,298.15,0.5,1063.7,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.80017,101,298.15,0.5,1075.3,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,0.89781,101,298.15,0.5,1087.8,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
PeIXd,1,101,298.15,0.5,1099.9,Chen et al. (2017d),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAPpak,Cn1ccnc1,1-methylimidazole,AAQxSq,CCOC(C)=O,ethyl acetate
