setid,"Temperature, K",Weight fraction of 2-aminoethan-1-ol,Weight fraction of N-methylpyrrolidone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dOUSw,308.15,0.1138,0.6414,101,1096,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,308.15,0.1162,0.4932,101,1145,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,313.15,0.0976,0.8032,101,1047,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,313.15,0.1138,0.6414,101,1092,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,313.15,0.1162,0.4932,101,1140,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,318.15,0.0976,0.8032,101,1043,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,318.15,0.1138,0.6414,101,1087,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,318.15,0.1162,0.4932,101,1135,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,323.15,0.0976,0.8032,101,1038,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,323.15,0.1138,0.6414,101,1083,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,323.15,0.1162,0.4932,101,1131,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,328.15,0.0976,0.8032,101,1034,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,328.15,0.1138,0.6414,101,1078,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,328.15,0.1162,0.4932,101,1126,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,333.15,0.0976,0.8032,101,1029,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,333.15,0.1138,0.6414,101,1073,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
dOUSw,333.15,0.1162,0.4932,101,1121,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
