setid,"Temperature, K","MolaLity of xylitol, mol/kg","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gqWgu,298.15,0,0.0004,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0,0.0008,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0,0.0012,100,997.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.0475,0.0008,100,999.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.052,0.0012,100,999.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.0546,0.0004,100,999.7,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.0675,0.0004,100,1000.4,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.069,0.0012,100,1000.3,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.0717,0.0008,100,1000.5,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
gqWgu,298.15,0.0832,0.0008,100,1001.1,Banipal et al. (2017b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAdNzc,OC[C@H](O)[C@@H](O)[C@H](O)CO,xylitol,AADYJk,O,water
