setid,Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sHbVU,0,101,298.15,794.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.0001,101,298.15,792.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.0732,101,298.15,1040.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.1082,101,298.15,1115.5,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.1385,101,298.15,1165.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.2145,101,298.15,1258.1,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.2485,101,298.15,1289.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.2968,101,298.15,1325.3,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.3388,101,298.15,1351.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.6002,101,298.15,1451,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.6355,101,298.15,1459.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.7925,101,298.15,1487.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,0.837,101,298.15,1497.3,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,1,101,298.15,1518.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
sHbVU,1,101,298.15,1518.6,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
