setid,Mole fraction of triethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
crpJH,0,293.15,101,1215.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,298.15,101,1212.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,303.15,101,1209.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,308.15,101,1206.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,313.15,101,1203.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,318.15,101,1200.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,323.15,101,1197.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,328.15,101,1194.1,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,333.15,101,1191.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,338.15,101,1188.2,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,343.15,101,1185.3,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,348.15,101,1182.4,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0,353.15,101,1179.5,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,293.15,101,1200.8,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,298.15,101,1197.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,303.15,101,1194.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,308.15,101,1191.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,313.15,101,1188.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,318.15,101,1185.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,323.15,101,1182.6,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
crpJH,0.0499,328.15,101,1179.7,Canongia Lopes et al. (2016),Density,Liquid,AAfekK,CC[NH+](CC)CC.O=[N+]([O-])[O-],triethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
