setid,"Temperature, K",Mole fraction of methyl ethanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qaBXc,288.14,0.3045,101,993.8,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0,101,1001.1,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.0512,101,999.4,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.1336,101,998.1,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.2149,101,996.3,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.403,101,990.2,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.5063,101,985.6,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.5982,101,980.7,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.7999,101,964.1,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.9011,101,953.1,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
qaBXc,288.15,0.9512,101,946.8,Alvarez et al. (2012),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
