setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fKUIY,288.15,0,100,999.1,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.0113,100,1000.2,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.0172,100,1000.4,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.0279,100,1000.5,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.0446,100,1000.8,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.1119,100,1001.8,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.1673,100,1002.6,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.2244,100,1003.5,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.2808,100,1004.4,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.3352,100,1005.4,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.3925,100,1006.3,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.448,100,1007.2,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,288.15,0.5037,100,1008,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0,100,998.2,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.0113,100,999.2,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.0172,100,999.4,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.0279,100,999.5,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.0446,100,999.8,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.1119,100,1000.7,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.1673,100,1001.5,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.2244,100,1002.4,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.2808,100,1003.3,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.3352,100,1004.2,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.3925,100,1005.1,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.448,100,1005.9,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,293.15,0.5037,100,1006.6,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
fKUIY,298.15,0,100,997.1,Tong et al. (2018),Density,Liquid,AAjWCu,CC(=O)[O-].CCC[n+]1ccn(C)c1,1-propyl-3-methylimidazolium acetate,AADYJk,O,water,,,
