setid,"Mole fraction of 1-butyl-2,3-dimethylimidazolium azide","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Lrxbq,0,313.15,101,1182,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,323.15,101,1175.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,333.15,101,1169.1,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,343.15,101,1162.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,353.15,101,1156.1,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,363.15,101,1149.6,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0,373.15,101,1143.2,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,313.15,101,1155,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,323.15,101,1148.7,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
Lrxbq,0.25,333.15,101,1142.5,Andriyko et al. (2009),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AAlcxm,CCCC[n+]1ccn(C)c1C.[N-]=[N+]=[N-],"1-butyl-2,3-dimethylimidazolium azide",,,
