setid,Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,Mole fraction of dimethyl sulfoxide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SsrvF,0.0301,0.903,298.15,100,1116.5,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0301,0.903,303.15,100,1111.8,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0301,0.903,308.15,100,1107.1,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0301,0.903,313.15,100,1102.3,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0301,0.903,318.15,100,1097.6,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0301,0.903,323.15,100,1092.9,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,298.15,100,1135.3,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,303.15,100,1130.7,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,308.15,100,1126.1,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,313.15,100,1120.7,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,318.15,100,1116.1,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.0698,0.8409,323.15,100,1111.4,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,298.15,100,1148.6,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,303.15,100,1144,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,308.15,100,1139.5,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,313.15,100,1134,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,318.15,100,1129.4,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1006,0.7931,323.15,100,1124.8,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,298.15,100,1161,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,303.15,100,1156.5,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,308.15,100,1152,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,313.15,100,1146,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,318.15,100,1141.5,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1311,0.7537,323.15,100,1137,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1702,0.7004,298.15,100,1175,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
SsrvF,0.1702,0.7004,303.15,100,1170.6,Fatima et al. (2020b),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAPByN,CS(C)=O,dimethyl sulfoxide,AALwIY,OCCO,"1,2-ethanediol"
