setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vTCxM,0.65,0.05,303,100,1123.44,Zhang et al. (2014i),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
vTCxM,0.65,0.05,308,100,1119.52,Zhang et al. (2014i),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
vTCxM,0.65,0.05,313,100,1115.61,Zhang et al. (2014i),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
vTCxM,0.65,0.05,318,100,1111.72,Zhang et al. (2014i),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
vTCxM,0.65,0.05,323,100,1107.81,Zhang et al. (2014i),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,AALmBl,NCCO,2-aminoethan-1-ol
