setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vxMGe,298.15,0,101,997.04,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.0343,101,1004.04,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.1377,101,1015.43,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.217,101,1019.66,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.3366,101,1022.62,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.4748,101,1024.07,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.6445,101,1024.66,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.7797,101,1024.7,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,0.9147,101,1024.72,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,298.15,1,101,1024.77,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0,101,994.03,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.0343,101,998.65,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.1377,101,1009.36,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
vxMGe,308.15,0.217,101,1013.54,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAmbYu,CCCC[N+]1(C)CCCC1.N#C[S-],1-butyl-1-methylpyrrolidinium thiocyanate,,,
