setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium dicyanamide,"Mole fraction of 2,2,2-trifluoroethanol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ekwAL,298.15,0.0355,0.8508,100,1340.1,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.0692,0.8058,100,1318.1,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.1059,0.7569,100,1294.3,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.1341,0.7174,100,1275.5,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.1703,0.668,100,1252.5,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.2026,0.6226,100,1232.1,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.2373,0.574,100,1211.2,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.2705,0.5266,100,1191.7,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.3059,0.4761,100,1172,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.3367,0.4558,100,1164.9,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.3741,0.4288,100,1156.1,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.4093,0.4055,100,1149.2,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.4361,0.3894,100,1145.1,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.4751,0.3581,100,1137.2,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
ekwAL,298.15,0.5091,0.3393,100,1134,Fatima et al. (2021),Density,Liquid,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAIsrh,CCO,ethanol
