setid,"Temperature, K","Mole fraction of 1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GARgx,293.15,0,100,1371.6,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,293.15,0.028,100,1379.3,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,298.15,0,100,1367.4,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,298.15,0.028,100,1375.1,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,303.15,0,100,1363.2,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,303.15,0.028,100,1370.9,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,308.15,0,100,1359,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,308.15,0.028,100,1366.7,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,313.15,0,100,1354.8,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,313.15,0.028,100,1362.5,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,318.15,0,100,1350.7,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,318.15,0.028,100,1358.3,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,323.15,0,100,1346.5,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,323.15,0.028,100,1354.1,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,328.15,0,100,1342.4,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,328.15,0.028,100,1350,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,333.15,0,100,1338.3,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,333.15,0.028,100,1345.8,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,338.15,0,100,1334.2,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,338.15,0.028,100,1341.7,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,340.65,1,100,1598,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
GARgx,343.15,0,100,1330.2,Koller et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,ABTxjM,C[n+]1ccn(CCC(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F,"1-methyl-3-(3,3,4,4,4-pentafluorobutyl)imidazolium hexafluorophosphate",,,
