setid,"Temperature, K","Weight fraction of 1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sqbeG,298.15,0.3201,101,1119.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.3601,101,1140.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.3998,101,1161.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.4398,101,1182.4,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.4813,101,1204.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.5201,101,1224.4,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.5615,101,1246.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.5987,101,1265.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.6197,101,1276.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.6607,101,1298.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.6998,101,1318.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.7612,101,1350.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.78,101,1360.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.8012,101,1371.6,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.8189,101,1380.8,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.8394,101,1391.5,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.8656,101,1405.2,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
sqbeG,298.15,0.8806,101,1413.1,Ferreira et al. (2020),Density,Liquid,ABTysS,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 2,2,3,3,4,4,5,5,5-nonafluoropentanoate",AADYJk,O,water,,,
