setid,Mole fraction of benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DsWkr,0.4494,328.15,101,1111.29,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.4494,333.15,101,1107.27,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.4494,338.15,101,1103.32,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.4494,343.15,101,1099.25,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.4494,348.15,101,1095.19,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,293.15,101,1169.15,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,298.15,101,1165.03,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,303.15,101,1161.15,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,308.15,101,1157.98,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,313.15,101,1153.12,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,318.15,101,1149.07,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,323.15,101,1145.19,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
DsWkr,0.594,328.15,101,1141.22,Domaska et al. (2019),Density,Liquid,ACIWuE,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,benzyldimethyldodecylammonium bis(trifluoromethylsulfonyl)imide,AAONVE,CCCCO,butan-1-ol,,,
