setid,"Temperature, K",Weight fraction of N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,Weight fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MvzDC,293.15,0.3,0,101,1019.2,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,293.15,0.3,0.1,101,1029.8,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,293.15,0.35,0.05,101,1027.9,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,293.15,0.4,0,101,1026.4,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,303.15,0.3,0,101,1014.3,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,303.15,0.3,0.1,101,1023.7,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,303.15,0.35,0.05,101,1021.9,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,303.15,0.4,0,101,1020.4,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,313.15,0.3,0,101,1009.2,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,313.15,0.3,0.1,101,1017.7,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,313.15,0.35,0.05,101,1015.9,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,313.15,0.4,0,101,1014.3,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,323.15,0.3,0,101,1003.4,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,323.15,0.3,0.1,101,1011.2,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,323.15,0.35,0.05,101,1009.4,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
MvzDC,323.15,0.4,0,101,1007.7,Shojaeian and Haghtalab (2013),Density,Liquid,AAZfMi,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
