setid,"Temperature, K",Mole fraction of 1-ethylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kvnyW,298.15,0.1993,100,904.35,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.2994,100,948.5,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.4002,100,985.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.501,100,1015.9,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.5977,100,1040.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.7003,100,1064.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.8001,100,1083.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,0.8945,100,1100.4,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,298.15,1,100,1118.5,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0,100,776.81,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.1003,100,846.73,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.1993,100,900.73,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.2994,100,945,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.4002,100,981.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.501,100,1012.6,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.5977,100,1037.6,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.7003,100,1060.8,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.8001,100,1079.9,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,0.8945,100,1097.1,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,303.15,1,100,1115.3,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0,100,772.46,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kvnyW,308.15,0.1003,100,842.85,Xing et al. (2017),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
