setid,"Temperature, K","Pressure, kPa",Solvent: Mole fraction of benzyl(2-hydroxyethyl)dimethylammonium chloride,Weight fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ooIsN,293.15,101,0.5,0.1134,1242,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,298.15,101,0.5,0.1134,1239,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,303.15,101,0.5,0.1134,1236,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,308.15,101,0.5,0.1134,1233,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,313.15,101,0.5,0.1134,1230,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,318.15,101,0.5,0.1134,1227,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,323.15,101,0.5,0.1134,1224,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,328.15,101,0.5,0.1134,1220,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,333.15,101,0.5,0.1134,1217,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,338.15,101,0.5,0.1134,1214,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,343.15,101,0.5,0.1134,1210,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,348.15,101,0.5,0.1134,1207,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
ooIsN,353.15,101,0.5,0.1134,1203,Florindo et al. (2017),Density,Liquid,AAihrA,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,D-fructose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
