setid,"Temperature, K",Mole fraction of potassium bis(fluorosulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fRBnq,273,0,101,1465,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,273,0.1,101,1504,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,273,0.2,101,1547,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,278,0,101,1460,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,278,0.1,101,1499,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,278,0.2,101,1542,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,283,0,101,1456,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,283,0.1,101,1495,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,283,0.2,101,1537,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,288,0,101,1451,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,288,0.1,101,1490,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,288,0.2,101,1532,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,293,0,101,1446,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,293,0.1,101,1485,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,293,0.2,101,1528,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
fRBnq,298,0,101,1442,Yamamoto et al. (2021),Density,Liquid,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,
