setid,"Temperature, K","MolaLity of 1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MrroB,293.15,0,101,998.203,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.03341,101,1002.35,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.04614,101,1003.89,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.05646,101,1005.11,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.06717,101,1006.38,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.0777,101,1007.58,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.08857,101,1008.85,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,293.15,0.09671,101,1009.75,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0,101,997.043,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.03341,101,1001.16,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.04614,101,1002.7,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.05646,101,1003.91,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
MrroB,298.15,0.06717,101,1005.17,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
