setid,"Mole fraction of 2,2,2-trifluoroethanol","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kdxfc,0,293.15,96.7,1286.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,298.15,96.7,1282.5,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,303.15,96.7,1278.7,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,308.15,96.7,1275,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,313.15,96.7,1271.2,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,318.15,96.7,1267.5,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,323.15,96.7,1263.8,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,328.15,96.7,1260.1,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0,333.15,96.7,1256.4,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
kdxfc,0.053,293.15,96.7,1288.9,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
