setid,"Temperature, K","MolaLity of 1-butyl-3-octyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xEkoU,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0055,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.01,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.015,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0216,100,999,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0285,100,999.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0346,100,999.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0412,100,999.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,293.15,0.0498,100,1000.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0055,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.01,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.015,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0216,100,997.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0285,100,998,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0346,100,998.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0412,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,298.15,0.0498,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0055,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.01,100,995.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.015,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0216,100,996.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0285,100,996.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0346,100,996.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0412,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,303.15,0.0498,100,997.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0055,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.01,100,994.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.015,100,994.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0216,100,994.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0285,100,994.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0346,100,994.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0412,100,995.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
xEkoU,308.15,0.0498,100,995.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABJBaa,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-octyl-1H-imidazolium bromide,,,
