setid,Weight fraction of 1-butyl-3-methylimidazolium thiocyanate,Weight fraction of potassium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KdUwF,0.0023,0.3899,298.15,101,1191.8,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,303.15,101,1188.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,308.15,101,1186,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,313.15,101,1183.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,318.15,101,1180.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,323.15,101,1177.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.0023,0.3899,328.15,101,1174.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,298.15,101,1175,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,303.15,101,1172,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
KdUwF,0.028,0.3107,308.15,101,1169,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
