setid,"Temperature, K",Mole fraction of carbon dioxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
heCAS,293.15,0.101,10000,1252,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.101,15000,1255,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.101,20000,1258,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.188,10000,1254,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.188,15000,1257,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.188,20000,1260,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.263,10000,1254,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.263,15000,1257,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.263,20000,1260,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.402,10000,1250,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.402,15000,1253,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,293.15,0.402,20000,1256,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,313.15,0.101,10000,1236,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,313.15,0.101,15000,1239,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,313.15,0.101,20000,1242,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,313.15,0.188,10000,1238,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
heCAS,313.15,0.188,15000,1241,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
