setid,Mole fraction of dimethylformamide,"MolaLity of tetrapropylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rgynN,0.0196,0.0506,298.15,101.325,997.801,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.0683,298.15,101.325,998.364,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.0961,298.15,101.325,999.216,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.1188,298.15,101.325,999.937,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.1414,298.15,101.325,1000.59,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.1697,298.15,101.325,1001.46,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.1864,298.15,101.325,1001.97,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.2175,298.15,101.325,1002.91,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0196,0.2213,298.15,101.325,1003.02,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.0554,298.15,101.325,998.09,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.0747,298.15,101.325,998.732,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.0914,298.15,101.325,999.283,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.1145,298.15,101.325,1000.03,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.1516,298.15,101.325,1001.23,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.1733,298.15,101.325,1001.92,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.1965,298.15,101.325,1002.67,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.2147,298.15,101.325,1003.25,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
rgynN,0.0417,0.2467,298.15,101.325,1004.26,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
