setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of 2-acetoxybenzoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
noyRz,0,288.15,0,86.8,787.395,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.0402,86.8,789.756,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.0834,86.8,792.285,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.11,86.8,793.822,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.1394,86.8,795.495,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.1708,86.8,797.242,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.2076,86.8,799.277,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.2453,86.8,801.312,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.2705,86.8,802.661,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,288.15,0.3006,86.8,804.272,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0,86.8,776.615,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.0402,86.8,778.992,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.0834,86.8,781.508,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.11,86.8,783.035,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.1394,86.8,784.705,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.1708,86.8,786.446,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.2076,86.8,788.483,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.2453,86.8,790.515,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.2705,86.8,791.87,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,298.15,0.3006,86.8,793.487,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
noyRz,0,308.15,0,86.8,765.81,Shekaari et al. (2015f),Density,Liquid,AAihNG,CC(=O)Oc1ccccc1C(=O)O,2-acetoxybenzoic acid,AAHueB,CC#N,acetonitrile,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
