setid,"Temperature, K",Mole fraction of aniline,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nUvOD,288.15,0,100,1444.6,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.1,100,1429.3,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.2,100,1414.3,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.3029,100,1396.8,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.4013,100,1376.4,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.5024,100,1350,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.6002,100,1317.5,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.7,100,1274.6,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.8002,100,1218.2,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
nUvOD,288.15,0.9,100,1140.4,Soldatovic et al. (2017),Density,Liquid,AARvIf,Nc1ccccc1,aniline,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
