setid,"Temperature, K","MolaLity of N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TQZMi,298.15,0,100,1095.28,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0162,100,1097.17,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0243,100,1098.11,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0394,100,1099.83,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0492,100,1100.95,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.063,100,1102.51,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0787,100,1104.28,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.0993,100,1106.57,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.1197,100,1108.8,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,298.15,0.1515,100,1112.25,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0,100,1090.26,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0162,100,1092.15,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0243,100,1093.09,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0394,100,1094.82,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0492,100,1095.93,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.063,100,1097.5,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0787,100,1099.27,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.0993,100,1101.56,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.1197,100,1103.8,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,303.15,0.1515,100,1107.24,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0,100,1085.24,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0162,100,1087.13,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0243,100,1088.07,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0394,100,1089.8,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0492,100,1090.92,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.063,100,1092.49,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0787,100,1094.26,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.0993,100,1096.55,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.1197,100,1098.79,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,308.15,0.1515,100,1102.24,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0,100,1080.22,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0162,100,1082.12,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0243,100,1083.06,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0394,100,1084.79,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0492,100,1085.91,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.063,100,1087.48,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0787,100,1089.26,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.0993,100,1091.55,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.1197,100,1093.79,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,313.15,0.1515,100,1097.25,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0,100,1075.21,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0162,100,1077.11,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0243,100,1078.05,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0394,100,1079.78,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0492,100,1080.9,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.063,100,1082.47,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0787,100,1084.25,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.0993,100,1086.55,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.1197,100,1088.79,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
TQZMi,318.15,0.1515,100,1092.25,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
