setid,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
InPUc,0,101,283.15,1461.72,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.0521,101,283.15,1452.91,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.0999,101,283.15,1444.17,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.1999,101,283.15,1424.14,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.2994,101,283.15,1400.71,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.3991,101,283.15,1372.46,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.5139,101,283.15,1332.6,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.6107,101,283.15,1288.73,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7003,101,283.15,1236.85,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7273,101,283.15,1218.3,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7395,101,283.15,1209.14,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7492,101,283.15,1202.4,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7847,101,283.15,1173.05,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,0.7959,101,283.15,1163.08,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
InPUc,1,101,283.15,889.58,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
