setid,"Temperature, K","MolaLity of lithium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EDwzZ,288.15,0,100,1209.05,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.0999,100,1211.1,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.1499,100,1212.17,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.2,100,1213.24,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.2501,100,1214.33,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.3003,100,1215.46,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,288.15,0.3498,100,1216.56,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,293.15,0,100,1205.5,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,293.15,0.0999,100,1207.56,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
EDwzZ,293.15,0.1499,100,1208.61,Sahin et al. (2017),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
