setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OYbLF,298.15,0,100,896.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.1007,100,949.3,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.2003,100,998,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.3007,100,1043.9,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.4003,100,1086.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.5,100,1126.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.5992,100,1164.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.7002,100,1199.6,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.8003,100,1232.6,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,0.8978,100,1262.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,298.15,1,100,1292.3,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0,100,892.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.1007,100,945.4,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.2003,100,994.2,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.3007,100,1040,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.4003,100,1082.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.5,100,1122.9,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.5992,100,1160.3,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.7002,100,1195.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.8003,100,1228.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,0.8978,100,1258.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,303.15,1,100,1288.1,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0,100,888.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.1007,100,942.1,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.2003,100,990.9,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.3007,100,1036.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.4003,100,1079.5,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.5,100,1119.8,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.5992,100,1157.1,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.7002,100,1192.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.8003,100,1225.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,0.8978,100,1255.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
OYbLF,308.15,1,100,1284.7,Devi et al. (2024),Density,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,
