setid,"Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TbsOz,0,101,298.15,805.6,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.1212,101,298.15,911.2,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.2407,101,298.15,996.2,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.3696,101,298.15,1075,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.4429,101,298.15,1115.1,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.5343,101,298.15,1161.1,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.5951,101,298.15,1189.5,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.7172,101,298.15,1241.4,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.7877,101,298.15,1268.1,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.8565,101,298.15,1291.6,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.8811,101,298.15,1299.4,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.9164,101,298.15,1309.8,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.9442,101,298.15,1317.3,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.9661,101,298.15,1322.9,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
TbsOz,0.9772,101,298.15,1325.6,Domanska et al. (2008d),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
