setid,Solvent: Weight fraction of tetrahydrofuran,"MolaLity of tetrabutylphosphonium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LomfA,0.25,0.0099,298.15,100,1014.26,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.25,0.0149,298.15,100,1014.94,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.25,0.0198,298.15,100,1015.98,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.25,0.0248,298.15,100,1017.27,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.25,0.0297,298.15,100,1018.8,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.25,0.0347,298.15,100,1020.55,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0103,298.15,100,969.76,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0155,298.15,100,970.36,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0207,298.15,100,971.24,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0259,298.15,100,972.36,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0311,298.15,100,973.66,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.5,0.0363,298.15,100,975.2,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0108,298.15,100,925.27,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0163,298.15,100,925.83,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0217,298.15,100,926.6,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0272,298.15,100,927.56,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0327,298.15,100,928.67,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
LomfA,0.75,0.0381,298.15,100,930.01,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AANtst,C1CCOC1,tetrahydrofuran,AAOMat,C1COCO1,"1,3-dioxolane"
