setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rCSjq,298.15,0.2,101,1078.7,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.3,101,1110.8,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.4,101,1135.1,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.5,101,1166,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.6,101,1179,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.7,101,1196,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,298.15,0.8,101,1213,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.2,101,1075.1,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.3,101,1107.2,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.4,101,1131.5,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.5,101,1163,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.6,101,1178,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.7,101,1193,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,303.15,0.8,101,1210,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.2,101,1071.3,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.3,101,1103.6,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.4,101,1127.9,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.5,101,1159,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.6,101,1172,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.7,101,1190,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,308.15,0.8,101,1206,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.2,101,1067.5,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.3,101,1099.9,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.4,101,1124.4,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.5,101,1156,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.6,101,1169,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.7,101,1186,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,313.15,0.8,101,1203,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.2,101,1063.9,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.3,101,1096.3,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.4,101,1120.8,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.5,101,1152,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.6,101,1165,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.7,101,1183,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,318.15,0.8,101,1199,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.2,101,1060.1,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.3,101,1092.7,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.4,101,1117.3,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.5,101,1149,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.6,101,1162,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
rCSjq,323.15,0.7,101,1179,Anantharaj and Banerjee (2013),Density,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,
