setid,"MolaLity of 1-methyl-3-pentylimidazolium propanoate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MdgBe,0.0111,101,298.15,997.2,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.0278,101,298.15,997.3,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.0557,101,298.15,997.6,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.1112,101,298.15,998.3,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.167,101,298.15,999,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.2774,101,298.15,1000.4,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.335,101,298.15,1001.1,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.3913,101,298.15,1001.8,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
MdgBe,0.4477,101,298.15,1002.5,Xu et al. (2014b),Density,Liquid,AADYJk,O,water,AArbTa,CCC(=O)[O-].CCCCCn1cc[n+](C)c1,1-methyl-3-pentylimidazolium propanoate,,,
