setid,"Temperature, K","MolaLity of 1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wpzpl,293.15,0,101,0.06,1000.19,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.0197,101,0.06,1002.74,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.03168,101,0.06,1004.26,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.04222,101,0.06,1005.59,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.05303,101,0.06,1006.93,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.06359,101,0.06,1008.23,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.07377,101,0.06,1009.47,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.0858,101,0.06,1010.92,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,293.15,0.09593,101,0.06,1012.12,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0,101,0.06,999.024,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.0197,101,0.06,1001.56,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
wpzpl,298.15,0.03168,101,0.06,1003.08,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
