setid,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jdzpV,282.7,9.97e-05,Shiflett et al. (2011a),Density,Liquid mixture 1,Liquid mixture 2,,,Gas,,2,AAIYzl,O=C=O,carbon dioxide
jdzpV,293.4,0.0001041,Shiflett et al. (2011a),Density,Liquid mixture 1,Liquid mixture 2,,,Gas,,2,AAIYzl,O=C=O,carbon dioxide
