setid,"MolaLity of 1-ethyl-3-methylimidazolium acetate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YShSt,0,288.15,102.53,999.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,293.15,102.53,998.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,298.15,102.53,997.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,303.15,102.53,995.7,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,308.15,102.53,994.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,313.15,102.53,992.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0,318.15,102.53,990.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,288.15,102.53,1000.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,293.15,102.53,999.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,298.15,102.53,998,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,303.15,102.53,996.6,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,308.15,102.53,994.9,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,313.15,102.53,993,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0107,318.15,102.53,991,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,288.15,102.53,1000.4,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,293.15,102.53,999.4,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,298.15,102.53,998.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,303.15,102.53,996.7,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,308.15,102.53,995,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,313.15,102.53,993.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0166,318.15,102.53,991.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,288.15,102.53,1000.6,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,293.15,102.53,999.6,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,298.15,102.53,998.3,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,303.15,102.53,996.9,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,308.15,102.53,995.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,313.15,102.53,993.3,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0281,318.15,102.53,991.2,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0444,288.15,102.53,1000.8,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0444,293.15,102.53,999.9,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0444,298.15,102.53,998.6,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0444,303.15,102.53,997.1,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
YShSt,0.0444,308.15,102.53,995.4,Tong et al. (2016d),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
