setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lVUGv,0.0628,0.6726,298.15,101,954,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.0829,0.8588,298.15,101,914,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.1076,0.4385,298.15,101,1046,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.1263,0.3412,298.15,101,1080,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.1568,0.1824,298.15,101,1128,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.164,0.5288,298.15,101,1050,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.1813,0.0545,298.15,101,1162,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.2045,0.6517,298.15,101,1035,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.2297,0.3403,298.15,101,1109,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
lVUGv,0.2898,0.1676,298.15,101,1153,Deenadayalu et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
