setid,Weight fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,Weight fraction of sodium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xUkce,0.053,0.212,298.15,101,1250.9,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,303.15,101,1246.6,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,308.15,101,1242.4,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,313.15,101,1238.2,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,318.15,101,1234.1,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,323.15,101,1229.8,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.053,0.212,328.15,101,1225.1,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,298.15,101,1131.8,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,303.15,101,1129,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,308.15,101,1126.2,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,313.15,101,1123.3,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,318.15,101,1120.4,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,323.15,101,1117.3,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
xUkce,0.822,0.0224,328.15,101,1114.2,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
