setid,Weight fraction of 1-butyl-3-methylimidazolium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ilKgL,0.2,293,101,908.8,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,298,101,905.6,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,303,101,902.4,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,308,101,899.3,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,313,101,896.1,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,318,101,893,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,323,101,889.9,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,328,101,886.7,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,333,101,883.5,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,338,101,880.3,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.2,343,101,877.1,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.5,293,101,937.1,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
ilKgL,0.5,298,101,933.6,Afzal et al. (2014),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
