setid,Weight fraction of propanoic acid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VJNoG,0.016,0.167,298.15,100,910.3,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.0165,0.171,298.15,100,910.2,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.0307,0.141,298.15,100,909.6,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.0714,0.0985,298.15,100,908.7,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.109,0.0691,298.15,100,909.1,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.132,0.0553,298.15,100,910,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.177,0.0486,298.15,100,911.6,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.195,0.0398,298.15,100,915.2,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.202,0.0388,298.15,100,915.7,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.227,0.0388,298.15,100,914.7,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.255,0.0392,298.15,100,917.3,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.276,0.0448,298.15,100,925,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.284,0.0473,298.15,100,926,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.307,0.0492,298.15,100,931,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
VJNoG,0.343,0.0485,298.15,100,931,Martak et al. (2021),Density,Liquid,AAOMRa,CCC(=O)O,propanoic acid,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",AADYJk,O,water
