setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bcNLJ,288.15,0.0038,100,999.306,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,288.15,0.0111,100,999.553,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,288.15,0.0182,100,999.908,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,293.15,0.0038,100,998.389,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,293.15,0.0111,100,998.624,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,293.15,0.0182,100,998.965,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,298.15,0.0038,100,997.163,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,298.15,0.0111,100,997.394,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,298.15,0.0182,100,997.677,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,303.15,0.0038,100,995.793,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,303.15,0.0111,100,995.96,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,303.15,0.0182,100,996.263,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,308.15,0.0038,100,994.165,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,308.15,0.0111,100,994.335,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,308.15,0.0182,100,994.644,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,313.15,0.0038,100,992.345,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,313.15,0.0111,100,992.578,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
bcNLJ,313.15,0.0182,100,992.755,Mehrdad and Niknam (2016b),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
