setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,Mole fraction of methanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OmaBV,0.0485,0.7471,298.15,101,959,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.0603,0.8974,298.15,101,918,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.0903,0.529,298.15,101,1048,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1099,0.4269,298.15,101,1081,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1332,0.6173,298.15,101,1058,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1452,0.2429,298.15,101,1133,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1591,0.729,298.15,101,1042,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1771,0.0765,298.15,101,1164,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.1998,0.4256,298.15,101,1115,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.239,0.3114,298.15,101,1138,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.2494,0.5752,298.15,101,1101,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.2971,0.1467,298.15,101,1168,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.3119,0.4692,298.15,101,1129,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.3705,0.369,298.15,101,1149,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.3706,0.5428,298.15,101,1129,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.4692,0.4211,298.15,101,1154,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.472,0.1965,298.15,101,1175,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.5271,0.1026,298.15,101,1187,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.5494,0.3222,298.15,101,1170,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.6151,0.2409,298.15,101,1180,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.72,0.2475,298.15,101,1184,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.7242,0.1053,298.15,101,1194,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
OmaBV,0.8468,0.115,298.15,101,1197,Deenadayalu et al. (2011),Density,Liquid,AAGIBL,CO,methanol,AALmzw,C[N+](=O)[O-],nitromethane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
