setid,Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tUQng,0,293.15,101,786,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.04,293.15,101,839,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.0597,293.15,101,863,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.08,293.15,101,886,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.0999,293.15,101,906,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.2,293.15,101,995,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.3,293.15,101,1065,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.4,293.15,101,1113,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.5,293.15,101,1150,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.5998,293.15,101,1180,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.6993,293.15,101,1205,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.8005,293.15,101,1227,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,0.9009,293.15,101,1246,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
tUQng,1,293.15,101,1263,Wang et al. (2011f),Density,Liquid,AAIsrh,CCO,ethanol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
