setid,"Temperature, K","MolaLity of benzyldimethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YMxLh,293.15,0.05683,101.3,792.387,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,293.15,0.1053,101.3,794.335,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,293.15,0.14298,101.3,795.8,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,293.15,0.15884,101.3,796.232,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,293.15,0.19075,101.3,797.464,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,293.15,0.25882,101.3,799.833,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.05683,101.3,788.087,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.1053,101.3,790.02,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.14298,101.3,791.471,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.15884,101.3,791.902,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.19075,101.3,793.126,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,298.15,0.25882,101.3,795.48,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.05683,101.3,783.753,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.1053,101.3,785.667,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.14298,101.3,787.108,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.15884,101.3,787.534,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.19075,101.3,788.748,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,303.15,0.25882,101.3,791.088,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.05683,101.3,779.383,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.1053,101.3,781.278,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.14298,101.3,782.707,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.15884,101.3,783.13,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.19075,101.3,784.335,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,308.15,0.25882,101.3,786.659,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.05683,101.3,774.972,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.1053,101.3,776.849,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.14298,101.3,778.264,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.15884,101.3,778.684,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.19075,101.3,779.881,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,313.15,0.25882,101.3,782.187,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
YMxLh,318.15,0.05683,101.3,770.519,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
